query,backend,latency_sec,recall_at_k,mrr_at_k,rouge_l_f1,generated_answer,retrieved_ids,relevant_ids
¿Cuáles son los tres pilares del Sistema Integral para la Paz establecidos en el acuerdo de 2016 y cuál fue el periodo de funcionamiento original de la Comisión para el Esclarecimiento de la Verdad?,solr,2.019712448120117,0.5,1.0,0.03278688524590164,ubpd.,01-prólogo.txt_0003|16-Armar a los civiles.txt_0000|02-introducción.txt_0025|01-prólogo.txt_0013|02-introducción.txt_0052,01-prólogo.txt_0003|01-prólogo.txt_0004
¿Cuáles son los tres pilares del Sistema Integral para la Paz establecidos en el acuerdo de 2016 y cuál fue el periodo de funcionamiento original de la Comisión para el Esclarecimiento de la Verdad?,milvus,2.8193318843841553,0.5,1.0,0.0,I said that one of the instruments to achieve peace was decentralization to be able to offer the desmovilizad guerrilla.,01-prólogo.txt_0003|30-El genocidio de la Unión Patriótica.txt_0003|02-introducción.txt_0052|29-Democracia desde abajo.txt_0018|34-Al filo del caos.txt_0006,01-prólogo.txt_0003|01-prólogo.txt_0004
"¿Cuál fue la pregunta macro que orientó la investigación de la Comisión de la Verdad y a qué sectores extendió la responsabilidad ética y política del conflicto armado, además de a quienes empuñaron las armas?",solr,6.877852439880371,1.0,1.0,0.18750000000000003,colombia) es importante destacar que en el análisis recibido por los comisiones el evidencia de que el conflicto armado en colombia no se reduce a enfrentamiento entre aparatos armados ni fue una guerra solamente ideológica.,01-prólogo.txt_0014|01-prólogo.txt_0013|01-prólogo.txt_0017|01-prólogo.txt_0018|02-introducción.txt_0021,01-prólogo.txt_0013|01-prólogo.txt_0014|01-prólogo.txt_0017|01-prólogo.txt_0018
"¿Cuál fue la pregunta macro que orientó la investigación de la Comisión de la Verdad y a qué sectores extendió la responsabilidad ética y política del conflicto armado, además de a quienes empuñaron las armas?",milvus,4.987195014953613,0.25,1.0,0.12195121951219512,"es mutante y diferenciada, dependiendo del momento y el lugar; adquiere una otra caracterstica, segn la aproximación con la que se estuda",01-prólogo.txt_0014|02-introducción.txt_0023|02-introducción.txt_0010|02-introducción.txt_0007|02-introducción.txt_0008,01-prólogo.txt_0013|01-prólogo.txt_0014|01-prólogo.txt_0017|01-prólogo.txt_0018
"¿De cuántos tomos y qué tipo de documento complementario consta el informe final, y cuáles son dos grupos o temas específicos que el texto menciona que tienen un tomo dedicado a visibilizar sus impactos diferenciados en el conflicto?",solr,3.553842782974243,0.0,0.0,0.05194805194805195,"this does not pretend to be an academic exercise to engross libraries, but a living exercise, a social, political and cultural process of democratic debate on the past and the transformation of the library.",01-prólogo.txt_0031|01-prólogo.txt_0025|01-prólogo.txt_0030|01-prólogo.txt_0020|01-prólogo.txt_0036,01-prólogo.txt_0019
"¿De cuántos tomos y qué tipo de documento complementario consta el informe final, y cuáles son dos grupos o temas específicos que el texto menciona que tienen un tomo dedicado a visibilizar sus impactos diferenciados en el conflicto?",milvus,2.0736591815948486,1.0,0.3333333333333333,0.08333333333333333,"armado, el estado, los territorios",01-prólogo.txt_0036|01-prólogo.txt_0025|01-prólogo.txt_0019|02-introducción.txt_0008|01-prólogo.txt_0021,01-prólogo.txt_0019
"¿Qué tipos de información y variables específicas utilizó la Comisión de la Verdad, provenientes de sus bases de datos internas (SIM), para ilustrar las problemáticas y contextos del conflicto armado?",solr,1.7893099784851074,0.0,0.0,0.0,the other sides of the final report do not have a jerk,02-introducción.txt_0014|01-prólogo.txt_0039|01-prólogo.txt_0040|02-introducción.txt_0010|01-prólogo.txt_0025,
"¿Qué tipos de información y variables específicas utilizó la Comisión de la Verdad, provenientes de sus bases de datos internas (SIM), para ilustrar las problemáticas y contextos del conflicto armado?",milvus,4.985893249511719,0.0,0.0,0.13793103448275862,"es mutante y diferenciada, dependiendo del momento y el lugar; adquiere una otra caracterstica, segn la aproximación con la que se estuda",02-introducción.txt_0023|01-prólogo.txt_0014|02-introducción.txt_0010|02-introducción.txt_0007|02-introducción.txt_0013,
"Identifique las 'grietas o fallas geológicas' en la construcción de la nación mencionadas por los ensayistas de la CHCV como origen del conflicto, y las violencias estructurales adicionales que la Comisión de la Verdad sumó a este análisis.",solr,1.427760124206543,1.0,0.5,0.028985507246376812,No tengo información suficiente,02-introducción.txt_0008|02-introducción.txt_0009|02-introducción.txt_0017|02-introducción.txt_0058|02-introducción.txt_0010,02-introducción.txt_0009|02-introducción.txt_0010
"Identifique las 'grietas o fallas geológicas' en la construcción de la nación mencionadas por los ensayistas de la CHCV como origen del conflicto, y las violencias estructurales adicionales que la Comisión de la Verdad sumó a este análisis.",milvus,1.346419334411621,1.0,1.0,0.0,SLO,02-introducción.txt_0009|02-introducción.txt_0008|02-introducción.txt_0010|01-prólogo.txt_0031|02-introducción.txt_0013,02-introducción.txt_0009|02-introducción.txt_0010
¿Cuál fue el principal logro político alcanzado al finalizar el Segundo Periodo (1978-1991) y cómo se contrasta la configuración de los actores armados y la reacción a la apertura democrática en el Tercer Periodo (1991-2002)?,solr,1.3792080879211426,0.5,1.0,0.04938271604938272,tercer periodo.,02-introducción.txt_0039|02-introducción.txt_0038|02-introducción.txt_0034|02-introducción.txt_0033|02-introducción.txt_0030,02-introducción.txt_0038|02-introducción.txt_0039|02-introducción.txt_0040|02-introducción.txt_0041
¿Cuál fue el principal logro político alcanzado al finalizar el Segundo Periodo (1978-1991) y cómo se contrasta la configuración de los actores armados y la reacción a la apertura democrática en el Tercer Periodo (1991-2002)?,milvus,1.5572474002838135,0.25,1.0,0.0,6) consecuencias,02-introducción.txt_0039|02-introducción.txt_0029|08-Una dictadura inducida.txt_0004|10-De la paz política a la guerra insurgente (1958-1978).txt_0006|02-introducción.txt_0037,02-introducción.txt_0038|02-introducción.txt_0039|02-introducción.txt_0040|02-introducción.txt_0041
"¿Cuál fue la dinámica de la relación bilateral entre Colombia y Estados Unidos a partir de la década de 1920, y qué compromiso tuvo que adquirir el estado colombiano para asegurar la inversión extranjera?",solr,17.741313219070435,1.0,1.0,0.5026178010471204,"uu., la estrella polar del norte . este reacercamiento se consolidara a partir de los aos veinte con una poltica exterior que se mantendra enfocada hacia washington por el resto del siglo, en esta década colombia recibió 25 millones de dólares como reparación por el desmembramiento de panamá y tuve abiertas las puertas de millonarios empréstitos cercanos a los 280 millones de dólares, cuyo objetivo era básicamente construir vas de comunicación, condición necesaria para la modernización y económico. esta prosperidad al debe se dio a cambio del compromiso del estado colombiano de darle va libre a la",03-Antecedentes históricos (1920-1958).txt_0005|03-Antecedentes históricos (1920-1958).txt_0006|03-Antecedentes históricos (1920-1958).txt_0004|03-Antecedentes históricos (1920-1958).txt_0003|07-Violencia que engendra violencia.txt_0027,03-Antecedentes históricos (1920-1958).txt_0005|03-Antecedentes históricos (1920-1958).txt_0006
"¿Cuál fue la dinámica de la relación bilateral entre Colombia y Estados Unidos a partir de la década de 1920, y qué compromiso tuvo que adquirir el estado colombiano para asegurar la inversión extranjera?",milvus,14.67189335823059,1.0,1.0,0.12269938650306748,"colombia fue el nico pas de américa latina que aceptó participar en ese lejano conflicto, en parte porque ya actuaba bajo los lineamientos que estados unidos dictaba en materia de seguridad. esta experiencia sera til en 1953, cuando comenzó una ofensiva militar del ejército colombiano en los llanos orientales, apoyado en un embarque de fusiles m1 y cazabombarderos que haban llegado al pas como parte de la ayuda entregada por Estados Unidos en un trata bilateral.",03-Antecedentes históricos (1920-1958).txt_0006|03-Antecedentes históricos (1920-1958).txt_0003|03-Antecedentes históricos (1920-1958).txt_0004|07-Violencia que engendra violencia.txt_0027|03-Antecedentes históricos (1920-1958).txt_0005,03-Antecedentes históricos (1920-1958).txt_0005|03-Antecedentes históricos (1920-1958).txt_0006
Describa las características de las 'economías de enclave' impulsadas en Colombia por inversionistas extranjeros y ponga un ejemplo de cómo se manifestaba la segregación social en estos campamentos.,solr,1.9308521747589111,0.6666666666666666,1.0,0.014705882352941175,No tengo información suficiente.,03-Antecedentes históricos (1920-1958).txt_0008|03-Antecedentes históricos (1920-1958).txt_0007|03-Antecedentes históricos (1920-1958).txt_0009|22-El narcotráfico patea el tablero.txt_0003|15-Golpear y huir.txt_0044,03-Antecedentes históricos (1920-1958).txt_0008|03-Antecedentes históricos (1920-1958).txt_0009|03-Antecedentes históricos (1920-1958).txt_0010
Describa las características de las 'economías de enclave' impulsadas en Colombia por inversionistas extranjeros y ponga un ejemplo de cómo se manifestaba la segregación social en estos campamentos.,milvus,1.882340431213379,0.3333333333333333,1.0,0.029629629629629627,enclaves produjeron urbanización.,"03-Antecedentes históricos (1920-1958).txt_0009|11-Los paradigmas de la Guerra Fría.txt_0019|09-¿Quién perdió_.txt_0009|35-No es el pasado, es el futuro.txt_0011|04-El miedo al comunismo.txt_0001",03-Antecedentes históricos (1920-1958).txt_0008|03-Antecedentes históricos (1920-1958).txt_0009|03-Antecedentes históricos (1920-1958).txt_0010
"Explique el papel del anticomunismo y la frustración agraria en la escalada del conflicto social y político colombiano entre las décadas de 1930 y 1950, y cómo se transformaron los grupos armados durante este periodo de violencia.",solr,3.716248035430908,0.6666666666666666,1.0,0.023529411764705882,"This was kept on the Marxista-Leninista line, in the search for a beginning in the social movement through ligas campesinas and agrarian sindicatos.",03-Antecedentes históricos (1920-1958).txt_0017|02-introducción.txt_0024|03-Antecedentes históricos (1920-1958).txt_0016|03-Antecedentes históricos (1920-1958).txt_0013|04-El miedo al comunismo.txt_0029,03-Antecedentes históricos (1920-1958).txt_0016|03-Antecedentes históricos (1920-1958).txt_0017|03-Antecedentes históricos (1920-1958).txt_0018
"Explique el papel del anticomunismo y la frustración agraria en la escalada del conflicto social y político colombiano entre las décadas de 1930 y 1950, y cómo se transformaron los grupos armados durante este periodo de violencia.",milvus,6.606625556945801,0.0,0.0,0.046242774566473986,"es importante entender cómo esos conflictos agrarios, culturales y étnicos, polticos e institucionales no resueltos explican, en parte, la guerra insurgente-contrainsurgente del ltimo medio siglo.",02-introducción.txt_0025|14-Las FARC.txt_0020|16-Armar a los civiles.txt_0004|02-introducción.txt_0034|34-Al filo del caos.txt_0000,03-Antecedentes históricos (1920-1958).txt_0016|03-Antecedentes históricos (1920-1958).txt_0017|03-Antecedentes históricos (1920-1958).txt_0018
¿De qué manera la incapacidad del estado colombiano para solucionar el problema de la propiedad se combinó con una legislación específica y el poder de los hacendados para facilitar el despojo de tierras?,solr,1.6230237483978271,0.4,1.0,0.017857142857142856,No tengo información suficiente?,04-El miedo al comunismo.txt_0002|04-El miedo al comunismo.txt_0007|12-Pacificación sin paz.txt_0061|05-Reformas inconclusas.txt_0005|05-Reformas inconclusas.txt_0006,04-El miedo al comunismo.txt_0001|04-El miedo al comunismo.txt_0002|04-El miedo al comunismo.txt_0003|04-El miedo al comunismo.txt_0007|04-El miedo al comunismo.txt_0008
¿De qué manera la incapacidad del estado colombiano para solucionar el problema de la propiedad se combinó con una legislación específica y el poder de los hacendados para facilitar el despojo de tierras?,milvus,2.825589895248413,0.4,0.5,0.017094017094017092,") , the difference in incomes between agricultores agrcolas y pequeos productores",12-Pacificación sin paz.txt_0052|04-El miedo al comunismo.txt_0007|12-Pacificación sin paz.txt_0059|12-Pacificación sin paz.txt_0053|04-El miedo al comunismo.txt_0001,04-El miedo al comunismo.txt_0001|04-El miedo al comunismo.txt_0002|04-El miedo al comunismo.txt_0003|04-El miedo al comunismo.txt_0007|04-El miedo al comunismo.txt_0008
"¿Qué condiciones de explotación laboral existían en el enclave de la United Fruit Company en Ciénaga que impulsaron la huelga de 1928, y de qué manera el gobierno reprimió el movimiento social después de la masacre inicial?",solr,2.319946527481079,0.3333333333333333,0.5,0.1016949152542373,las huelgas de petróleo y del banano de 1927 y 1928,04-El miedo al comunismo.txt_0018|04-El miedo al comunismo.txt_0019|04-El miedo al comunismo.txt_0020|03-Antecedentes históricos (1920-1958).txt_0009|06-La violencia como política.txt_0037,04-El miedo al comunismo.txt_0019|04-El miedo al comunismo.txt_0023|04-El miedo al comunismo.txt_0024
