query,backend,total_latency_sec,retrieval_latency_sec,recall_at_k,mrr_at_k,rouge_l_f1,generated_answer,retrieved_ids,relevant_ids
¿Cómo se articula el mecanismo de justicia transicional colombiano en sus componentes fundamentales y cuál fue la duración prevista inicialmente para la entidad encargada de la verdad?,solr,4.118687152862549,0.004095315933227539,0.0,0.0,0.03076923076923077,No tengo información suficiente.,26-«Los enemigos agazapados de la paz».txt_0037|02-introducción.txt_0050|32-La guerra sucia.txt_0033|32-La guerra sucia.txt_0026|01-prólogo.txt_0016,01-prólogo.txt_0003|01-prólogo.txt_0004
¿Cómo se articula el mecanismo de justicia transicional colombiano en sus componentes fundamentales y cuál fue la duración prevista inicialmente para la entidad encargada de la verdad?,milvus,2.516707181930542,0.0036706924438476562,0.0,0.0,0.03076923076923077,No tengo información suficiente.,"02-introducción.txt_0051|02-introducción.txt_0050|35-No es el pasado, es el futuro.txt_0004|02-introducción.txt_0006|02-introducción.txt_0005",01-prólogo.txt_0003|01-prólogo.txt_0004
"¿Cuál fue el interrogante central que guio el estudio de las causas profundas del conflicto, y a qué grupos influyentes de la sociedad se les atribuyó una cuota de responsabilidad moral o política, además de los actores militares?",solr,3.543553590774536,0.004111051559448242,0.5,1.0,0.40697674418604646,"El interrogante central que guio el estudio fue la necesidad de alejarse de las lecturas simplistas y binarias para escudriñar en el entramado de actores, intereses, objetivos y prácticas que convirtieron la guerra en un escenario diferenciado. Esto llevó a la conclusión de que el conflicto armado en Colombia no se reduce al enfrentamiento entre aparatos armados ni fue una guerra solamente ideológica, sino un entramado de alianzas, actores e intereses.

Además de quienes empuñaron las armas, la responsabilidad ética y política (y en algunos casos, una responsabilidad directa) se atribuyó a sectores políticos (de todas las ideologías), económicos, criminales, sociales y culturales.",01-prólogo.txt_0017|01-prólogo.txt_0018|34-Al filo del caos.txt_0017|03-Antecedentes históricos (1920-1958).txt_0027|28-La toma del Palacio de Justicia.txt_0022,01-prólogo.txt_0013|01-prólogo.txt_0014|01-prólogo.txt_0017|01-prólogo.txt_0018
"¿Cuál fue el interrogante central que guio el estudio de las causas profundas del conflicto, y a qué grupos influyentes de la sociedad se les atribuyó una cuota de responsabilidad moral o política, además de los actores militares?",milvus,3.633666753768921,0.002586841583251953,0.0,0.0,0.0625,No tengo información suficiente.,02-introducción.txt_0025|02-introducción.txt_0009|03-Antecedentes históricos (1920-1958).txt_0027|01-prólogo.txt_0031|02-introducción.txt_0003,01-prólogo.txt_0013|01-prólogo.txt_0014|01-prólogo.txt_0017|01-prólogo.txt_0018
Describa la composición estructural del documento de cierre y mencione dos poblaciones cuyos padecimientos en la guerra fueron abordados específicamente en secciones separadas del análisis.,solr,2.927475690841675,0.0029554367065429688,0.0,0.0,0.041666666666666664,No tengo información suficiente.,01-prólogo.txt_0021|22-El narcotráfico patea el tablero.txt_0028|32-La guerra sucia.txt_0013|03-Antecedentes históricos (1920-1958).txt_0025|22-El narcotráfico patea el tablero.txt_0027,01-prólogo.txt_0019
Describa la composición estructural del documento de cierre y mencione dos poblaciones cuyos padecimientos en la guerra fueron abordados específicamente en secciones separadas del análisis.,milvus,4.265261650085449,0.0031890869140625,0.0,0.0,0.13559322033898305,"La composición estructural del informe final consiste en once documentos que se presentan de manera separada, pero que en conjunto ofrecen una lectura sistémica de las dinámicas del conflicto armado interno. Estos documentos no tienen una jerarquía y responden a aspectos específicos del mandato recibido del acuerdo de paz. Los temas abordados incluyen: la herida de las víctimas, la democracia, los derechos humanos, las dinámicas de la guerra, el estado, los territorios y la cultura.

En cuanto a las dos poblaciones cuyos padecimientos en la guerra fueron abordados específicamente en secciones separadas del análisis, el contexto menciona a las ""víctimas"" en general, pero no identifica ni nombra dos grupos poblacionales específicos que hayan sido tratados en secciones separadas.

No tengo información suficiente.",01-prólogo.txt_0021|01-prólogo.txt_0025|02-introducción.txt_0008|02-introducción.txt_0057|03-Antecedentes históricos (1920-1958).txt_0027,01-prólogo.txt_0019
"¿Qué clases de métricas cuantitativas sobre temas económicos, sociales y de seguridad interna empleó la entidad investigadora para delinear el alcance de las dinámicas bélicas?",solr,2.9720888137817383,0.0030629634857177734,0.0,0.0,0.057971014492753624,No tengo información suficiente,"01-prólogo.txt_0020|35-No es el pasado, es el futuro.txt_0011|10-De la paz política a la guerra insurgente (1958-1978).txt_0015|35-No es el pasado, es el futuro.txt_0012|10-De la paz política a la guerra insurgente (1958-1978).txt_0016",
"¿Qué clases de métricas cuantitativas sobre temas económicos, sociales y de seguridad interna empleó la entidad investigadora para delinear el alcance de las dinámicas bélicas?",milvus,3.676602363586426,0.0028543472290039062,0.0,0.0,0.057971014492753624,No tengo información suficiente.,02-introducción.txt_0008|01-prólogo.txt_0031|01-prólogo.txt_0014|17-¿Armas o reformas_.txt_0017|12-Pacificación sin paz.txt_0054,
"¿Cuáles fueron las debilidades históricas fundamentales señaladas por la historiografía previa como raíces del conflicto, y qué formas de opresión social profunda añadió la Comisión de la Verdad a ese diagnóstico?",solr,4.113922357559204,0.0034961700439453125,0.5,0.5,0.6777777777777777,"Las debilidades históricas fundamentales (o fallas geológicas) señaladas por los ensayistas de la CHCV como raíces del conflicto son: la cuestión agraria, la debilidad institucional, la honda desigualdad de los ingresos, la tendencia al uso simultáneo de las armas y las urnas, y la presencia precaria y a veces traumática del estado en muchas regiones del territorio nacional.

La Comisión de la Verdad añadió a ese diagnóstico la necesidad de analizar algunas violencias estructurales cuyo vínculo con el conflicto armado interno ha sido, hasta hace poco, invisible: el patriarcado, el racismo y las múltiples discriminaciones por clase social, región o corrientes de pensamiento.",24-Ni una gota más de sangre.txt_0003|02-introducción.txt_0009|02-introducción.txt_0005|02-introducción.txt_0017|02-introducción.txt_0024,02-introducción.txt_0009|02-introducción.txt_0010
"¿Cuáles fueron las debilidades históricas fundamentales señaladas por la historiografía previa como raíces del conflicto, y qué formas de opresión social profunda añadió la Comisión de la Verdad a ese diagnóstico?",milvus,3.519859790802002,0.002502918243408203,0.5,1.0,0.3862068965517242,"Las debilidades históricas fundamentales o ""fallas geológicas"" que explican, en parte, la guerra insurgente-contrainsurgente, son los conflictos agrarios, culturales y étnicos, políticos e institucionales no resueltos.

A ese diagnóstico, la Comisión de la Verdad sumó la necesidad de analizar algunas violencias estructurales cuyo vínculo con el conflicto armado interno había sido, hasta hace poco, invisible: el patriarcado, el racismo y las múltiples discriminaciones por clase social, región o corrientes de pensamiento.",02-introducción.txt_0010|02-introducción.txt_0013|02-introducción.txt_0012|02-introducción.txt_0008|02-introducción.txt_0025,02-introducción.txt_0009|02-introducción.txt_0010
