query,backend,total_latency_sec,retrieval_latency_sec,recall_at_k,mrr_at_k,rouge_l_f1,generated_answer,retrieved_ids,relevant_ids
¿Cómo se articula el mecanismo de justicia transicional colombiano en sus componentes fundamentales y cuál fue la duración prevista inicialmente para la entidad encargada de la verdad?,solr,3.1771492958068848,0.004575252532958984,0.0,0.0,0.03076923076923077,No tengo información suficiente.,26-«Los enemigos agazapados de la paz».txt_0037|02-introducción.txt_0050|32-La guerra sucia.txt_0033|32-La guerra sucia.txt_0026|01-prólogo.txt_0016,01-prólogo.txt_0003|01-prólogo.txt_0004
¿Cómo se articula el mecanismo de justicia transicional colombiano en sus componentes fundamentales y cuál fue la duración prevista inicialmente para la entidad encargada de la verdad?,milvus,2.417459726333618,0.003998994827270508,0.0,0.0,0.03076923076923077,No tengo información suficiente.,"02-introducción.txt_0051|02-introducción.txt_0050|35-No es el pasado, es el futuro.txt_0004|02-introducción.txt_0006|02-introducción.txt_0005",01-prólogo.txt_0003|01-prólogo.txt_0004
"¿Cuál fue el interrogante central que guio el estudio de las causas profundas del conflicto, y a qué grupos influyentes de la sociedad se les atribuyó una cuota de responsabilidad moral o política, además de los actores militares?",solr,4.11417031288147,0.0037603378295898438,0.5,1.0,0.4146341463414635,"El enfoque central para el estudio fue alejarse de las lecturas simplistas y binarias para escudriñar en el entramado de actores, intereses, objetivos y prácticas que convirtieron la guerra en un escenario diferenciado. La evidencia que emergió fue que el conflicto armado en Colombia no se reduce al enfrentamiento entre aparatos armados ni fue una guerra solamente ideológica, sino un entramado de alianzas, actores e intereses.

Además de quienes empuñaron las armas, la responsabilidad ética y política (y en algunos casos directa) se extendió a los sectores:
*   Políticos (de todas las ideologías)
*   Económicos
*   Criminales
*   Sociales
*   Culturales",01-prólogo.txt_0017|01-prólogo.txt_0018|34-Al filo del caos.txt_0017|03-Antecedentes históricos (1920-1958).txt_0027|28-La toma del Palacio de Justicia.txt_0022,01-prólogo.txt_0013|01-prólogo.txt_0014|01-prólogo.txt_0017|01-prólogo.txt_0018
"¿Cuál fue el interrogante central que guio el estudio de las causas profundas del conflicto, y a qué grupos influyentes de la sociedad se les atribuyó una cuota de responsabilidad moral o política, además de los actores militares?",milvus,3.303208112716675,0.0030364990234375,0.0,0.0,0.0625,No tengo información suficiente.,02-introducción.txt_0025|02-introducción.txt_0009|03-Antecedentes históricos (1920-1958).txt_0027|01-prólogo.txt_0031|02-introducción.txt_0003,01-prólogo.txt_0013|01-prólogo.txt_0014|01-prólogo.txt_0017|01-prólogo.txt_0018
Describa la composición estructural del documento de cierre y mencione dos poblaciones cuyos padecimientos en la guerra fueron abordados específicamente en secciones separadas del análisis.,solr,2.569807529449463,0.003331899642944336,0.0,0.0,0.041666666666666664,No tengo información suficiente.,01-prólogo.txt_0021|22-El narcotráfico patea el tablero.txt_0028|32-La guerra sucia.txt_0013|03-Antecedentes históricos (1920-1958).txt_0025|22-El narcotráfico patea el tablero.txt_0027,01-prólogo.txt_0019
Describa la composición estructural del documento de cierre y mencione dos poblaciones cuyos padecimientos en la guerra fueron abordados específicamente en secciones separadas del análisis.,milvus,5.3238325119018555,0.0031440258026123047,0.0,0.0,0.04878048780487805,"Error al generar la respuesta: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",01-prólogo.txt_0021|01-prólogo.txt_0025|02-introducción.txt_0008|02-introducción.txt_0057|03-Antecedentes históricos (1920-1958).txt_0027,01-prólogo.txt_0019
"¿Qué clases de métricas cuantitativas sobre temas económicos, sociales y de seguridad interna empleó la entidad investigadora para delinear el alcance de las dinámicas bélicas?",solr,3.474790334701538,0.004084348678588867,0.0,0.0,0.057971014492753624,No tengo información suficiente.,"01-prólogo.txt_0020|35-No es el pasado, es el futuro.txt_0011|10-De la paz política a la guerra insurgente (1958-1978).txt_0015|35-No es el pasado, es el futuro.txt_0012|10-De la paz política a la guerra insurgente (1958-1978).txt_0016",
"¿Qué clases de métricas cuantitativas sobre temas económicos, sociales y de seguridad interna empleó la entidad investigadora para delinear el alcance de las dinámicas bélicas?",milvus,4.935967206954956,0.003174304962158203,0.0,0.0,0.057971014492753624,No tengo información suficiente.,02-introducción.txt_0008|01-prólogo.txt_0031|01-prólogo.txt_0014|17-¿Armas o reformas_.txt_0017|12-Pacificación sin paz.txt_0054,
"¿Cuáles fueron las debilidades históricas fundamentales señaladas por la historiografía previa como raíces del conflicto, y qué formas de opresión social profunda añadió la Comisión de la Verdad a ese diagnóstico?",solr,3.4410204887390137,0.004102230072021484,0.5,0.5,0.6451612903225806,"Las debilidades históricas fundamentales (o ""fallas geológicas"") señaladas por los ensayistas de la CHCV como raíces del conflicto son:

1. La cuestión agraria.
2. La debilidad institucional.
3. La honda desigualdad de los ingresos.
4. La tendencia al uso simultáneo de las armas y las urnas.
5. La presencia precaria y a veces traumática del estado en muchas regiones del territorio nacional.

A ese diagnóstico, la Comisión de la Verdad sumó la necesidad de analizar algunas violencias estructurales cuyo vínculo con el conflicto armado interno había sido hasta hace poco invisible:

1. El patriarcado.
2. El racismo.
3. Las múltiples discriminaciones por clase social, región o corrientes de pensamiento.",24-Ni una gota más de sangre.txt_0003|02-introducción.txt_0009|02-introducción.txt_0005|02-introducción.txt_0017|02-introducción.txt_0024,02-introducción.txt_0009|02-introducción.txt_0010
"¿Cuáles fueron las debilidades históricas fundamentales señaladas por la historiografía previa como raíces del conflicto, y qué formas de opresión social profunda añadió la Comisión de la Verdad a ese diagnóstico?",milvus,5.142005681991577,0.003029346466064453,0.5,1.0,0.25882352941176473,"Las raíces del conflicto señaladas por la historiografía (inspirada por la Comisión Histórica del Conflicto y sus Víctimas - CHCV) se centraron en la necesidad de comprender las grietas o fallas geológicas en la construcción de la nación, y cómo los conflictos agrarios, culturales y étnicos, políticos e institucionales no resueltos explican, en parte, la guerra insurgente-contrainsurgente.

A ese diagnóstico, la Comisión de la Verdad sumó la necesidad de analizar algunas violencias estructurales cuyo vínculo con el conflicto armado interno había sido invisible hasta hace poco: el patriarcado, el racismo y",02-introducción.txt_0010|02-introducción.txt_0013|02-introducción.txt_0012|02-introducción.txt_0008|02-introducción.txt_0025,02-introducción.txt_0009|02-introducción.txt_0010
