query,backend,total_latency_sec,retrieval_latency_sec,recall_at_k,mrr_at_k,rouge_l_f1,generated_answer,retrieved_ids,relevant_ids
¿Cómo se articula el mecanismo de justicia transicional colombiano en sus componentes fundamentales y cuál fue la duración prevista inicialmente para la entidad encargada de la verdad?,solr,2.3254270553588867,0.003261566162109375,0.0,0.0,0.03076923076923077,No tengo información suficiente.,26-«Los enemigos agazapados de la paz».txt_0037|02-introducción.txt_0050|32-La guerra sucia.txt_0033|32-La guerra sucia.txt_0026|01-prólogo.txt_0016,01-prólogo.txt_0003|01-prólogo.txt_0004
¿Cómo se articula el mecanismo de justicia transicional colombiano en sus componentes fundamentales y cuál fue la duración prevista inicialmente para la entidad encargada de la verdad?,milvus,2.220817804336548,0.0035364627838134766,0.0,0.0,0.03076923076923077,No tengo información suficiente.,"02-introducción.txt_0051|02-introducción.txt_0050|35-No es el pasado, es el futuro.txt_0004|02-introducción.txt_0006|02-introducción.txt_0005",01-prólogo.txt_0003|01-prólogo.txt_0004
"¿Cuál fue el interrogante central que guio el estudio de las causas profundas del conflicto, y a qué grupos influyentes de la sociedad se les atribuyó una cuota de responsabilidad moral o política, además de los actores militares?",solr,3.768429756164551,0.003330230712890625,0.5,1.0,0.42666666666666675,"El estudio se guio por la necesidad de alejarse de las lecturas simplistas y binarias para escudriñar en el entramado de actores, intereses, objetivos y prácticas, definiendo el conflicto como un entramado de alianzas, actores e intereses, y no solo como un enfrentamiento entre aparatos armados o una guerra ideológica.

Además de quienes empuñaron las armas, se atribuyó una responsabilidad ética y política –y en algunos casos, una responsabilidad directa– a los sectores:
*   Políticos (de todas las ideologías)
*   Económicos
*   Criminales
*   Sociales
*   Culturales",01-prólogo.txt_0017|01-prólogo.txt_0018|34-Al filo del caos.txt_0017|03-Antecedentes históricos (1920-1958).txt_0027|28-La toma del Palacio de Justicia.txt_0022,01-prólogo.txt_0013|01-prólogo.txt_0014|01-prólogo.txt_0017|01-prólogo.txt_0018
"¿Cuál fue el interrogante central que guio el estudio de las causas profundas del conflicto, y a qué grupos influyentes de la sociedad se les atribuyó una cuota de responsabilidad moral o política, además de los actores militares?",milvus,3.29569673538208,0.0029277801513671875,0.0,0.0,0.0625,No tengo información suficiente.,02-introducción.txt_0025|02-introducción.txt_0009|03-Antecedentes históricos (1920-1958).txt_0027|01-prólogo.txt_0031|02-introducción.txt_0003,01-prólogo.txt_0013|01-prólogo.txt_0014|01-prólogo.txt_0017|01-prólogo.txt_0018
Describa la composición estructural del documento de cierre y mencione dos poblaciones cuyos padecimientos en la guerra fueron abordados específicamente en secciones separadas del análisis.,solr,5.0731329917907715,0.004120349884033203,0.0,0.0,0.04878048780487805,"Error al generar la respuesta: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",01-prólogo.txt_0021|22-El narcotráfico patea el tablero.txt_0028|32-La guerra sucia.txt_0013|03-Antecedentes históricos (1920-1958).txt_0025|22-El narcotráfico patea el tablero.txt_0027,01-prólogo.txt_0019
Describa la composición estructural del documento de cierre y mencione dos poblaciones cuyos padecimientos en la guerra fueron abordados específicamente en secciones separadas del análisis.,milvus,5.3620522022247314,0.0026252269744873047,0.0,0.0,0.1616161616161616,"La composición estructural del documento de cierre es de once documentos (tomos) que se presentan de manera separada, pero que corresponden a una lectura sistémica de las dinámicas del conflicto armado interno. Estos documentos abordan temas como la herida de las víctimas, la democracia, los derechos humanos, las dinámicas de la",01-prólogo.txt_0021|01-prólogo.txt_0025|02-introducción.txt_0008|02-introducción.txt_0057|03-Antecedentes históricos (1920-1958).txt_0027,01-prólogo.txt_0019
"¿Qué clases de métricas cuantitativas sobre temas económicos, sociales y de seguridad interna empleó la entidad investigadora para delinear el alcance de las dinámicas bélicas?",solr,3.552246332168579,0.0033071041107177734,0.0,0.0,0.057971014492753624,No tengo información suficiente.,"01-prólogo.txt_0020|35-No es el pasado, es el futuro.txt_0011|10-De la paz política a la guerra insurgente (1958-1978).txt_0015|35-No es el pasado, es el futuro.txt_0012|10-De la paz política a la guerra insurgente (1958-1978).txt_0016",
"¿Qué clases de métricas cuantitativas sobre temas económicos, sociales y de seguridad interna empleó la entidad investigadora para delinear el alcance de las dinámicas bélicas?",milvus,4.069274425506592,0.0031538009643554688,0.0,0.0,0.057971014492753624,No tengo información suficiente.,02-introducción.txt_0008|01-prólogo.txt_0031|01-prólogo.txt_0014|17-¿Armas o reformas_.txt_0017|12-Pacificación sin paz.txt_0054,
"¿Cuáles fueron las debilidades históricas fundamentales señaladas por la historiografía previa como raíces del conflicto, y qué formas de opresión social profunda añadió la Comisión de la Verdad a ese diagnóstico?",solr,3.2205231189727783,0.0045392513275146484,0.5,0.5,0.6779661016949153,"Las debilidades históricas fundamentales señaladas por los ensayistas de la CHCV (fallas geológicas) como raíces del conflicto son: la cuestión agraria, la debilidad institucional, la honda desigualdad de los ingresos, la tendencia al uso simultáneo de las armas y las urnas, o la presencia precaria y a veces traumática del estado en muchas regiones del territorio nacional.

A estas fallas, la Comisión de la Verdad suma la necesidad de analizar algunas violencias estructurales cuyo vínculo con el conflicto armado interno ha sido invisible hasta hace poco: el patriarcado, el racismo y las múltiples discriminaciones por clase social, región o corrientes de pensamiento.",24-Ni una gota más de sangre.txt_0003|02-introducción.txt_0009|02-introducción.txt_0005|02-introducción.txt_0017|02-introducción.txt_0024,02-introducción.txt_0009|02-introducción.txt_0010
"¿Cuáles fueron las debilidades históricas fundamentales señaladas por la historiografía previa como raíces del conflicto, y qué formas de opresión social profunda añadió la Comisión de la Verdad a ese diagnóstico?",milvus,4.252854108810425,0.0038919448852539062,0.5,1.0,0.368421052631579,"Las debilidades históricas fundamentales señaladas por la historiografía previa, particularmente por los ensayistas de la Comisión Histórica del Conflicto y sus Víctimas (CHCV), fueron las grietas o fallas geológicas en la construcción de la nación. Dentro de este enfoque histórico, también se mencionan los conflictos agrarios, culturales y étnicos, políticos e institucionales no resueltos.

La Comisión de la Verdad añadió a este diagnóstico la necesidad de analizar algunas violencias estructurales cuyo vínculo con el conflicto armado interno había sido, hasta hace poco, invisible. Estas formas de opresión social profunda son: el patriarcado, el racismo y las múltiples discriminaciones por clase social, región o corrientes de pensamiento.",02-introducción.txt_0010|02-introducción.txt_0013|02-introducción.txt_0012|02-introducción.txt_0008|02-introducción.txt_0025,02-introducción.txt_0009|02-introducción.txt_0010
